1;10105;Oficial General da Aeronáutica
2;10110;Oficial General do Exército
3;10115;Oficial General da Marinha
4;10205;Oficial da Aeronáutica
5;10210;Oficial do Exército
6;10215;Oficial da Marinha
7;10305;Praça da Aeronáutica
8;10310;Praça do Exército
9;10315;Praça da Marinha
10;20105;Coronel da Polícia Militar
11;20110;Tenente-Coronel da Polícia Militar
12;20115;Major da Polícia Militar
13;20205;Capitão da Polícia Militar
14;20305;Primeiro Tenente de Polícia Militar
15;20310;Segundo Tenente de Polícia Militar
16;21105;Subtenente da Polícia Militar
17;21110;Sargento da Polícia Militar
18;21205;Cabo da Polícia Militar
19;21210;Soldado da Polícia Militar
20;30105;Coronel Bombeiro Militar
21;30110;Major Bombeiro Militar
22;30115;Tenente-Coronel Bombeiro Militar
23;30205;Capitão Bombeiro Militar
24;30305;Tenente do Corpo de Bombeiros Militar
25;31105;Subtenente Bombeiro Militar
26;31110;Sargento Bombeiro Militar
27;31205;Cabo Bombeiro Militar
28;31210;Soldado Bombeiro Militar
29;111105;Senador
30;111110;Deputado Federal
31;111115;Deputado Estadual e distrital
32;111120;Vereador
33;111205;Presidente da República
34;111210;Vice-Presidente da República
35;111215;Ministro de estado
36;111220;Secretário-Executivo
37;111225;Membro superior do poder executivo
38;111230;Governador de Estado
39;111235;Governador do Distrito Federal
40;111240;Vice-Governador de Estado
41;111245;Vice-Governador do Distrito Federal
42;111250;Prefeito
43;111255;Vice-Prefeito
44;111305;Ministro do Supremo Tribunal Federal
45;111310;Ministro do Superior Tribunal de Justiça
46;111315;Ministro do Superior Tribunal Militar
47;111320;Ministro do Superior Tribunal do Trabalho
48;111325;Juiz de Direito
49;111330;Juiz Federal
50;111335;Juiz Auditor Federal - Justiça Militar
51;111340;Juiz Auditor Estadual - Justiça Militar
52;111345;Juiz do Trabalho
53;111405;Dirigente do serviço público federal
54;111410;Dirigente do serviço público estadual e distrital
55;111415;Dirigente do serviço público municipal
56;111505;Especialista de políticas públicas e gestão governamental - EPPGG
57;111510;Analista de planejamento e orçamento - APO
58;113005;Cacique
59;113010;Líder de comunidade caiçara
60;113015;Membro de liderança quilombola
61;114105;Dirigente de partido político
62;114205;Dirigentes de entidades de trabalhadores
63;114210;Dirigentes de entidades patronais
64;114305;Dirigente e administrador de organização religiosa
65;114405;Dirigente e administrador de organização da sociedade civil sem fins lucrativos
66;121005;Diretor de planejamento estratégico
67;121010;Diretor geral de empresa e organizações (exceto de interesse público)
68;122105;Diretor de produção e operações em empresa agropecuária
69;122110;Diretor de produção e operações em empresa aqüícola
70;122115;Diretor de produção e operações em empresa florestal
71;122120;Diretor de produção e operações em empresa pesqueira
72;122205;Diretor de produção e operações da indústria de transformação, extração mineral e utilidades
73;122305;Diretor de operações de obras pública e civil
74;122405;Diretor de operações comerciais (comércio atacadista e varejista)
75;122505;Diretor de produção e operações de alimentação
76;122510;Diretor de produção e operações de hotel
77;122515;Diretor de produção e operações de turismo
78;122520;Turismólogo
79;122605;Diretor de operações de correios
80;122610;Diretor de operações de serviços de armazenamento
81;122615;Diretor de operações de serviços de telecomunicações
82;122620;Diretor de operações de serviços de transporte
83;122705;Diretor comercial em operações de intermediação financeira
84;122710;Diretor de produtos bancários
85;122715;Diretor de crédito rural
86;122720;Diretor de câmbio e comércio exterior
87;122725;Diretor de compliance
88;122730;Diretor de crédito (exceto crédito imobiliário)
89;122735;Diretor de crédito imobiliário
90;122740;Diretor de leasing
91;122745;Diretor de mercado de capitais
92;122750;Diretor de recuperação de créditos em operações de intermediação financeira
93;122755;Diretor de riscos de mercado
94;123105;Diretor administrativo
95;123110;Diretor administrativo e financeiro
96;123115;Diretor financeiro
97;123205;Diretor de recursos humanos
98;123210;Diretor de relações de trabalho
99;123305;Diretor comercial
100;123310;Diretor de marketing
101;123405;Diretor de suprimentos
102;123410;Diretor de suprimentos no serviço público
103;123605;Diretor de serviços de informática
104;123705;Diretor de Pesquisa e Desenvolvimento (P&D)
105;123805;Diretor de manutenção
106;131105;Diretor de serviços culturais
107;131110;Diretor de serviços sociais
108;131115;Gerente de serviços culturais
109;131120;Gerente de serviços sociais
110;131205;Diretor de serviços de saúde
111;131210;Gerente de serviços de saúde
112;131215;Tecnólogo em gestão hospitalar
113;1312C1;Sanitarista
114;131305;Diretor de instituição educacional da área privada
115;131310;Diretor de instituição educacional pública
116;131315;Gerente de instituição educacional da área privada
117;131320;Gerente de serviços educacionais da área pública
118;141105;Gerente de produção e operações aqüícolas
119;141110;Gerente de produção e operações florestais
120;141115;Gerente de produção e operações agropecuárias
121;141120;Gerente de produção e operações pesqueiras
122;141205;Gerente de produção e operações
123;141305;Gerente de produção e operações da construção civil e obras públicas
124;141405;Comerciante atacadista
125;141410;Comerciante varejista
126;141415;Gerente de loja e supermercado
127;141420;Gerente de operações de serviços de assistência técnica
128;141505;Gerente de hotel
129;141510;Gerente de restaurante
130;141515;Gerente de bar
131;141520;Gerente de pensão
132;141525;Gerente de turismo
133;141605;Gerente de operações de transportes
134;141610;Gerente de operações de correios e telecomunicações
135;141615;Gerente de logística (armazenagem e distribuição)
136;141705;Gerente de produtos bancários
137;141710;Gerente de agência
138;141715;Gerente de câmbio e comércio exterior
139;141720;Gerente de crédito e cobrança
140;141725;Gerente de crédito imobiliário
141;141730;Gerente de crédito rural
142;141735;Gerente de recuperação de crédito
143;142105;Gerente administrativo
144;142110;Gerente de riscos
145;142115;Gerente financeiro
146;142120;Tecnólogo em gestão administrativo- financeira
147;142205;Gerente de recursos humanos
148;142210;Gerente de departamento pessoal
149;142305;Gerente comercial
150;142310;Gerente de comunicação
151;142315;Gerente de marketing
152;142320;Gerente de vendas
153;142325;Relações públicas
154;142330;Analista de negócios
155;142335;Analista de pesquisa de mercado
156;142340;Ouvidor
157;142405;Gerente de compras
158;142410;Gerente de suprimentos
159;142415;Gerente de almoxarifado
160;142505;Gerente de rede
161;142510;Gerente de desenvolvimento de sistemas
162;142515;Gerente de produção de tecnologia da informação
163;142520;Gerente de projetos de tecnologia da informação
164;142525;Gerente de segurança de tecnologia da informação
165;142530;Gerente de suporte técnico de tecnologia da informação
166;142535;Tecnólogo em gestão da tecnologia da informação
167;142605;Gerente de Pesquisa e Desenvolvimento (P&D)
168;142610;Especialista em desenvolvimento de cigarros
169;142705;Gerente de projetos e serviços de manutenção
170;142710;Tecnólogo em sistemas biomédicos
171;201105;Bioengenheiro
172;201110;Biotecnologista
173;201115;Geneticista
174;201205;Pesquisador em metrologia
175;201210;Especialista em calibrações metrológicas
176;201215;Especialista em ensaios metrológicos
177;201220;Especialista em instrumentação metrológica
178;201225;Especialista em materiais de referência metrológica
179;202105;Engenheiro mecatrônico
180;202110;Engenheiro de controle e automação
181;202115;Tecnólogo em mecatrônica
182;202120;Tecnólogo em automação industrial
183;203005;Pesquisador em biologia ambiental
184;203010;Pesquisador em biologia animal
185;203015;Pesquisador em biologia de microorganismos e parasitas
186;203020;Pesquisador em biologia humana
187;203025;Pesquisador em biologia vegetal
188;203105;Pesquisador em ciências da computação e informática
189;203110;Pesquisador em ciências da terra e meio ambiente
190;203115;Pesquisador em física
191;203120;Pesquisador em matemática
192;203125;Pesquisador em química
193;203205;Pesquisador de engenharia civil
194;203210;Pesquisador de engenharia e tecnologia (outras áreas da engenharia)
195;203215;Pesquisador de engenharia elétrica e eletrônica
196;203220;Pesquisador de engenharia mecânica
197;203225;Pesquisador de engenharia metalúrgica, de minas e de materiais
198;203230;Pesquisador de engenharia química
199;203305;Pesquisador de clínica médica
200;203310;Pesquisador de medicina básica
201;203315;Pesquisador em medicina veterinária
202;203320;Pesquisador em saúde coletiva
203;203405;Pesquisador em ciências agronômicas
204;203410;Pesquisador em ciências da pesca e aqüicultura
205;203415;Pesquisador em ciências da zootecnia
206;203420;Pesquisador em ciências florestais
207;203505;Pesquisador em ciências sociais e humanas
208;203510;Pesquisador em economia
209;203515;Pesquisador em ciências da educação
210;203520;Pesquisador em história
211;203525;Pesquisador em psicologia
212;204105;Perito criminal
213;211105;Atuário
214;211110;Especialista em pesquisa operacional
215;211115;Matemático
216;211120;Matemático aplicado
217;211205;Estatístico
218;211210;Estatístico (estatística aplicada)
219;211215;Estatístico teórico
220;212205;Engenheiro de aplicativos em computação
221;212210;Engenheiro de equipamentos em computação
222;212215;Engenheiros de sistemas operacionais em computação
223;212305;Administrador de banco de dados
224;212310;Administrador de redes
225;212315;Administrador de sistemas operacionais
226;212320;Administrador em segurança da informação
227;212405;Analista de desenvolvimento de sistemas
228;212410;Analista de redes e de comunicação de dados
229;212415;Analista de sistemas de automação
230;212420;Analista de suporte computacional
231;213105;Físico
232;213110;Físico (acústica)
233;213115;Físico (atômica e molecular)
234;213120;Físico (cosmologia)
235;213125;Físico (estatística e matemática)
236;213130;Físico (fluidos)
237;213135;Físico (instrumentação)
238;213140;Físico (matéria condensada)
239;213145;Físico (materiais)
240;213150;Físico (medicina)
241;213155;Físico (nuclear e reatores)
242;213160;Físico (óptica)
243;213165;Físico (partículas e campos)
244;213170;Físico (plasma)
245;213175;Físico (térmica)
246;213205;Químico
247;213210;Químico industrial
248;213215;Tecnólogo em processos químicos
249;213305;Astrônomo
250;213310;Geofísico espacial
251;213315;Meteorologista
252;213405;Geólogo
253;213410;Geólogo de engenharia
254;213415;Geofísico
255;213420;Geoquímico
256;213425;Hidrogeólogo
257;213430;Paleontólogo
258;213435;Petrógrafo
259;213440;Oceanógrafo
260;214005;Engenheiro ambiental
261;214010;Tecnólogo em meio ambiente
262;214105;Arquiteto de edificações
263;214110;Arquiteto de interiores
264;214115;Arquiteto de patrimônio
265;214120;Arquiteto paisagista
266;214125;Arquiteto urbanista
267;214130;Urbanista
268;214205;Engenheiro civil
269;214210;Engenheiro civil (aeroportos)
270;214215;Engenheiro civil (edificações)
271;214220;Engenheiro civil (estruturas metálicas)
272;214225;Engenheiro civil (ferrovias e metrovias)
273;214230;Engenheiro civil (geotécnia)
274;214235;Engenheiro civil (hidrologia)
275;214240;Engenheiro civil (hidráulica)
276;214245;Engenheiro civil (pontes e viadutos)
277;214250;Engenheiro civil (portos e vias navegáveis)
278;214255;Engenheiro civil (rodovias)
279;214260;Engenheiro civil (saneamento)
280;214265;Engenheiro civil (túneis)
281;214270;Engenheiro civil (transportes e trânsito)
282;214280;Tecnólogo em construção civil
283;214305;Engenheiro eletricista
284;214310;Engenheiro eletrônico
285;214315;Engenheiro eletricista de manutenção
286;214320;Engenheiro eletricista de projetos
287;214325;Engenheiro eletrônico de manutenção
288;214330;Engenheiro eletrônico de projetos
289;214335;Engenheiro de manutenção de telecomunicações
290;214340;Engenheiro de telecomunicações
291;214345;Engenheiro projetista de telecomunicações
292;214350;Engenheiro de redes de comunicação
293;214360;Tecnólogo em eletricidade
294;214365;Tecnólogo em eletrônica
295;214370;Tecnólogo em telecomunicações
296;214405;Engenheiro mecânico
297;214410;Engenheiro mecânico automotivo
298;214415;Engenheiro mecânico (energia nuclear)
299;214420;Engenheiro mecânico industrial
300;214425;Engenheiro aeronáutico
301;214430;Engenheiro naval
302;214435;Tecnólogo em fabricação mecânica
303;214505;Engenheiro químico
304;214510;Engenheiro químico (indústria química)
305;214515;Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica)
306;214520;Engenheiro químico (papel e celulose)
307;214525;Engenheiro químico (petróleo e borracha)
308;214530;Engenheiro químico (utilidades e meio ambiente)
309;214535;Tecnólogo em produção sulcroalcooleira
310;214605;Engenheiro de materiais
311;214610;Engenheiro metalurgista
312;214615;Tecnólogo em metalurgia
313;214705;Engenheiro de minas
314;214710;Engenheiro de minas (beneficiamento)
315;214715;Engenheiro de minas (lavra a céu aberto)
316;214720;Engenheiro de minas (lavra subterrânea)
317;214725;Engenheiro de minas (pesquisa mineral)
318;214730;Engenheiro de minas (planejamento)
319;214735;Engenheiro de minas (processo)
320;214740;Engenheiro de minas (projeto)
321;214745;Tecnólogo em petróleo e gás
322;214750;Tecnólogo em rochas ornamentais
323;214805;Engenheiro agrimensor
324;214810;Engenheiro cartógrafo
325;214905;Engenheiro de produção
326;214910;Engenheiro de controle de qualidade
