1;A00;0;S;N;Colera;Colera;5
2;A00.0;0;N;S;Colera dev Vibrio cholerae 01 biot cholerae;Cólera devida a Vibrio cholerae 01, biótipo cholerae;5
3;A00.1;0;N;S;Colera dev Vibrio cholerae 01 biot El Tor;Cólera devida a Vibrio cholerae 01, biótipo El Tor;5
4;A00.9;0;N;S;Colera NE;Cólera não especificada;5
5;A01;0;S;N;Febres tifoide e paratifoide;Febres tifoide e paratifoide;5
6;A01.0;0;N;S;Febre tifoide;Febre tifóide;5
7;A01.1;0;N;S;Febre paratifoide A;Febre paratifóide A;5
8;A01.2;0;N;S;Febre paratifoide B;Febre paratifóide B;5
9;A01.3;0;N;S;Febre paratifoide C;Febre paratifóide C;5
10;A01.4;0;N;S;Febre paratifoide NE;Febre paratifóide não especificada;5
11;A02;0;S;N;Outr infecc p/Salmonella;Outr infecc p/Salmonella;5
12;A02.0;0;N;S;Enterite p/salmonela;Enterite por salmonela;5
13;A02.1;0;N;S;Septicemia p/salmonela;Septicemia por salmonela;5
14;A02.2;+;N;S;Infecc localizadas p/salmonela;Infecções localizadas por salmonela;5
15;A02.8;0;N;S;Outr infecc espec p/salmonela;Outras infecções especificadas por salmonela;5
16;A02.9;0;N;S;Infecc NE p/salmonela;Infecção não especificada por salmonela;5
17;A03;0;S;N;Shiguelose;Shiguelose;5
18;A03.0;0;N;S;Shiguelose dev Shigella dysenteriae;Shiguelose devida a Shigella dysenteriae;5
19;A03.1;0;N;S;Shiguelose dev Shigella flexneri;Shiguelose devida a Shigella flexneri;5
20;A03.2;0;N;S;Shiguelose dev Shigella boydii;Shiguelose devida a Shigella boydii;5
21;A03.3;0;N;S;Shiguelose dev Shigella sonnei;Shiguelose devida a Shigella sonnei;5
22;A03.8;0;N;S;Outr shigueloses;Outras shigueloses;5
23;A03.9;0;N;S;Shiguelose NE;Shiguelose não especificada;5
24;A04;0;S;N;Outr infecc intestinais bacter;Outr infecc intestinais bacter;5
25;A04.0;0;N;S;Infecc p/Escherichia coli enteropatogenica;Infecção por Escherichia coli enteropatogênica;5
26;A04.1;0;N;S;Infecc p/Escherichia coli enterotoxigenica;Infecção por Escherichia coli enterotoxigênica;5
27;A04.2;0;N;S;Infecc p/Escherichia coli enteroinvasiva;Infecção por Escherichia coli enteroinvasiva;5
28;A04.3;0;N;S;Infecc p/Escherichia coli enterohemorragica;Infecção por Escherichia coli enterohemorrágica;5
29;A04.4;0;N;S;Outr infecc intestinais p/Escherichia coli;Outras infecções intestinais por Escherichia coli;5
30;A04.5;0;N;S;Enterite p/Campylobacter;Enterite por Campylobacter;5
31;A04.6;0;N;S;Enterite dev Yersinia enterocolitica;Enterite devida a Yersinia enterocolítica;5
32;A04.7;0;N;S;Enterocolite dev Clostridium difficile;Enterocolite devida a Clostridium difficile;5
33;A04.8;0;N;S;Outr infecc bacter intestinais espec;Outras infecções bacterianas intestinais especificadas;5
34;A04.9;0;N;S;Infecc intestinal bacter NE;Infecção intestinal bacteriana não especificada;5
35;A05;0;S;N;Outr intox alimentares bacter;Outr intox alimentares bacter;5
36;A05.0;0;N;S;Intox alimentar estafilococica;Intoxicação alimentar estafilocócica;5
37;A05.1;0;N;S;Botulismo;Botulismo;5
38;A05.2;0;N;S;Intox alimentar dev Clostridium perfringens;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii];5
39;A05.3;0;N;S;Intox alimentar dev Vibrio parahemolyticus;Intoxicação alimentar devida a Vibrio parahemolyticus;5
40;A05.4;0;N;S;Intox alimentar dev Bacillus cereus;Intoxicação alimentar devida a Bacillus cereus;5
41;A05.8;0;N;S;Outr intox alimentares bacter espec;Outras intoxicações alimentares bacterianas especificadas;5
42;A05.9;0;N;S;Intox alimentar bacter NE;Intoxicação alimentar bacteriana não especificada;5
43;A06;0;S;N;Amebiase;Amebiase;5
44;A06.0;0;N;S;Disenteria amebiana aguda;Disenteria amebiana aguda;5
45;A06.1;0;N;S;Amebiase intestinal cronica;Amebíase intestinal crônica;5
46;A06.2;0;N;S;Colite amebiana nao-disenterica;Colite amebiana não-disentérica;5
47;A06.3;0;N;S;Ameboma intestinal;Ameboma intestinal;5
48;A06.4;0;N;S;Abscesso amebiano do figado;Abscesso amebiano do fígado;5
49;A06.5;+;N;S;Abscesso amebiano do pulmao;Abscesso amebiano do pulmão (J99.8*);5
50;A06.6;+;N;S;Abscesso amebiano do cerebro;Abscesso amebiano do cérebro (G07*);5
51;A06.7;0;N;S;Amebiase cutanea;Amebíase cutânea;5
52;A06.8;0;N;S;Infecc amebiana de outr localiz;Infecção amebiana de outras localizações;5
53;A06.9;0;N;S;Amebiase NE;Amebíase não especificada;5
54;A07;0;S;N;Outr doenc intestinais p/protozoarios;Outr doenc intestinais p/protozoarios;5
